item_id,datetime,month,region,mgrs_tile,cloud_cover_pct,B02_blue,B03_green,B04_red,B08_nir,B11_swir16,B12_swir22,NDVI,NDBI,NDMI,BSI
S2B_35SKB_20190928_1_L2A,2019-09-28 09:20:05.044000+00:00,2019-09,Attica,MGRS-35SKB,0.28,0.047149,0.045657,0.049003,0.084416,0.090961,0.068434,0.2654,0.0373,-0.0373,0.0309
S2B_34SGG_20190829_1_L2A,2019-08-29 09:20:09.770000+00:00,2019-08,Attica,MGRS-34SGG,0.01,0.052766,0.050095,0.053192,0.089263,0.089059,0.067033,0.2532,-0.0011,0.0011,0.0008
S2B_35SKB_20190730_1_L2A,2019-07-30 09:20:11.084000+00:00,2019-07,Attica,MGRS-35SKB,0.75,0.081359,0.081716,0.086378,0.12259,0.126672,0.098765,0.1733,0.0164,-0.0164,0.0218
S2B_35SKB_20190630_2_L2A,2019-06-30 09:20:13.390000+00:00,2019-06,Attica,MGRS-35SKB,0.07,0.073962,0.074107,0.078643,0.122251,0.12484,0.098408,0.2171,0.0105,-0.0105,0.0182
S2A_34SFH_20190529_1_L2A,2019-05-29 09:29:53.377000+00:00,2019-05,Attica,MGRS-34SFH,1.32,0.074377,0.100163,0.112734,0.241139,0.208334,0.148794,0.3629,-0.073,0.073,0.0087
S2A_34SGG_20190429_1_L2A,2019-04-29 09:30:00.756000+00:00,2019-04,Attica,MGRS-34SGG,0.01,0.059177,0.061399,0.060597,0.074534,0.072405,0.063525,0.1031,-0.0145,0.0145,-0.0027
S2B_34SFG_20180923_1_L2A,2018-09-23 09:20:02.049000+00:00,2018-09,Attica,MGRS-34SFG,0.0,0.025731,0.014313,0.008381,0.025679,0.020952,0.014282,0.5079,-0.1014,0.1014,-0.2734
S2A_34SGG_20180829_3_L2A,2018-08-29 09:19:55.966000+00:00,2018-08,Attica,MGRS-34SGG,0.02,0.059545,0.071875,0.084143,0.139431,0.166712,0.126916,0.2473,0.0891,-0.0891,0.1153
S2A_34SGG_20180730_0_L2A,2018-07-30 09:16:40.253000+00:00,2018-07,Attica,MGRS-34SGG,3.34,0.116536,0.111343,0.107473,0.131038,0.130199,0.107525,0.0988,-0.0032,0.0032,-0.0204
S2A_35SKB_20180630_0_L2A,2018-06-30 09:19:15.387000+00:00,2018-06,Attica,MGRS-35SKB,0.21,0.066919,0.072292,0.078191,0.114456,0.129904,0.1037,0.1882,0.0632,-0.0632,0.0686
